CHAMBER,LI-8200,,LI-870,LI-8200,CHAMBER,LI-870,
TA initial_value,PA initial_value,VOLUME_TOTAL,CO2 mean,LABEL,SWC_2 mean,FCO2_DRY,
[C],[kPa],[cm+3],[umol+1mol-1],[#],[m+3m-3],[umol+1m-2s-1],
15.41087,99.56,21335.6,522.22,1,0.348,0.57221,
15.15314,99.57,21335.6,451.6,1,0.348,0.44579,0.493946667
15.38663,99.56,21335.6,451.78,1,0.33407,0.46384,
16.48278,99.57,25624.34,453.64,13,0.32707,0.98065,
15.89567,99.57,25624.34,453.81,13,0.33,0.96219,0.999366667
15.9317,99.56,25624.34,454.15,13,0.33062,1.05526,
15.70647,99.58,23758.73,451.66,14,0.1986,0.42721,
15.9156,99.57,23758.73,451.82,14,0.01575,0.40951,0.404083333
16.11877,99.57,23758.73,452.69,14,0.1224,0.37553,
15.2677,99.56,24273.38,453.92,24,0.31785,0.87007,
16.32459,99.55,24273.38,453.75,24,0.32,0.73357,0.778163333
16.29324,99.56,24273.38,453.85,24,0.32,0.73085,
15.85666,99.55,20756.62,458.04,OC3,0.384,1.19533,
16.60885,99.55,20756.62,457.3,OC3,0.384,1.08285,
17.09845,99.55,20756.62,457.64,OC3,0.384,1.01443,
17.99605,99.54,25688.67,456.96,25,0.31525,1.01418,
18.64351,99.54,25688.67,456.17,25,0.31852,0.96179,0.97623
19.46933,99.54,25688.67,456.38,25,0.32273,0.95272,
15.53204,99.51,22193.34,455.16,16,0.29513,0.8478,
16.01018,99.51,22193.34,456.34,16,0.29893,1.0657,0.97548
15.94457,99.51,22193.34,455.99,16,0.2982,1.01294,
16.79672,99.5,23544.3,457.08,17,0.245,0.98851,
16.8225,99.51,23544.3,457.78,17,0.2521,1.0668,1.056796667
16.7569,99.51,23544.3,457.63,17,0.25353,1.11508,
18.48163,99.49,23630.07,453.61,OC5,0.23393,0.66314,
19.08891,99.49,23630.07,454.28,OC5,0.31983,0.69417,
19.42428,99.49,23630.07,453.66,OC5,0.319,0.65787,
16.65773,99.49,22472.11,452.55,23,0.3454,0.64555,
16.44484,99.48,22472.11,452.99,23,0.344,0.66656,0.66125
15.85832,99.48,22472.11,453.36,23,0.343,0.67164,
17.21877,99.49,22836.66,455.82,OC4,0.362,1.12447,
17.8836,99.46,22836.66,456.19,OC4,0.36143,0.85734,
18.51177,99.45,22836.66,457.42,OC4,0.362,0.90715,
16.48353,99.45,21914.58,455.97,22,0.378,0.84017,
16.74449,99.44,21914.58,455.77,22,0.378,0.94652,0.97454
16.81874,99.43,21914.58,456.24,22,0.378,1.13693,
16.99937,99.44,22043.24,461.05,21,0.28308,1.60858,
17.10648,99.45,22043.24,460.07,21,0.395,1.49393,1.53086
17.11857,99.45,22043.24,460.12,21,0.395,1.49007,
15.98202,99.46,21399.93,453.86,20,0.39248,0.81652,
15.3867,99.42,21399.93,453.58,20,0.392,0.76663,0.76145
15.08427,99.44,21399.93,453.84,20,0.391,0.7012,
17.33199,99.44,25838.77,454.88,19,0.21167,0.79977,
17.1884,99.43,25838.77,456.15,19,0.253,0.97218,0.87109
17.24323,99.43,25838.77,455.81,19,0.255,0.84132,
15.9035,99.39,21828.8,457.88,18,0.32595,1.48229,
