CHAMBER,LI-8200,,LI-870,LI-8200,LI-8200,CHAMBER,LI-870,CHAMBER
TA initial_value,PA initial_value,VOLUME_TOTAL,CO2 mean,DATE_TIME initial_value,LABEL,SWC_2 mean,FCO2_DRY,TS_2 mean
[C],[kPa],[cm+3],[umol+1mol-1],[YYYY-MM-DD HH:MM:SS],[#],[m+3m-3],[umol+1m-2s-1],[C]
15.410870,99.560000,21335.600000,522.220000,2024/01/29 11:54:40,1,0.348000,0.572210,15.166670
15.153140,99.570000,21335.600000,451.600000,2024/01/29 11:56:06,1,0.348000,0.445790,14.940000
15.386630,99.560000,21335.600000,451.780000,2024/01/29 11:57:32,1,0.334070,0.463840,15.210000
16.482780,99.570000,25624.340000,453.640000,2024/01/29 12:04:16,13,0.327070,0.980650,15.306670
15.895670,99.570000,25624.340000,453.810000,2024/01/29 12:05:42,13,0.330000,0.962190,15.540000
15.931700,99.560000,25624.340000,454.150000,2024/01/29 12:07:07,13,0.330620,1.055260,15.761670
15.706470,99.580000,23758.730000,451.660000,2024/01/29 12:14:14,14,0.198600,0.427210,15.700000
15.915600,99.570000,23758.730000,451.820000,2024/01/29 12:15:40,14,0.015750,0.409510,1.308330
16.118770,99.570000,23758.730000,452.690000,2024/01/29 12:17:06,14,0.122400,0.375530,9.600000
15.267700,99.560000,24273.380000,453.920000,2024/01/29 12:21:48,24,0.317850,0.870070,16.056670
16.324590,99.550000,24273.380000,453.750000,2024/01/29 12:23:13,24,0.320000,0.733570,16.200000
16.293240,99.560000,24273.380000,453.850000,2024/01/29 12:24:38,24,0.320000,0.730850,16.326670
15.856660,99.550000,20756.620000,458.040000,2024/01/29 12:29:40,OC3,0.384000,1.195330,16.216670
16.608850,99.550000,20756.620000,457.300000,2024/01/29 12:31:05,OC3,0.384000,1.082850,16.533330
17.098450,99.550000,20756.620000,457.640000,2024/01/29 12:32:31,OC3,0.384000,1.014430,16.700000
17.996050,99.540000,25688.670000,456.960000,2024/01/29 12:36:35,25,0.315250,1.014180,17.016670
18.643510,99.540000,25688.670000,456.170000,2024/01/29 12:38:01,25,0.318520,0.961790,17.200000
19.469330,99.540000,25688.670000,456.380000,2024/01/29 12:39:26,25,0.322730,0.952720,17.200000
15.532040,99.510000,22193.340000,455.160000,2024/01/29 12:43:34,16,0.295130,0.847800,16.800000
16.010180,99.510000,22193.340000,456.340000,2024/01/29 12:45:00,16,0.298930,1.065700,16.751670
15.944570,99.510000,22193.340000,455.990000,2024/01/29 12:46:26,16,0.298200,1.012940,16.700000
16.796720,99.500000,23544.300000,457.080000,2024/01/29 12:51:11,17,0.245000,0.988510,16.266670
16.822500,99.510000,23544.300000,457.780000,2024/01/29 12:52:37,17,0.252100,1.066800,16.320000
16.756900,99.510000,23544.300000,457.630000,2024/01/29 12:54:02,17,0.253530,1.115080,16.500000
18.481630,99.490000,23630.070000,453.610000,2024/01/29 12:58:14,OC5,0.233930,0.663140,16.500000
19.088910,99.490000,23630.070000,454.280000,2024/01/29 12:59:40,OC5,0.319830,0.694170,16.500000
19.424280,99.490000,23630.070000,453.660000,2024/01/29 13:01:06,OC5,0.319000,0.657870,16.500000
16.657730,99.490000,22472.110000,452.550000,2024/01/29 13:04:48,23,0.345400,0.645550,16.590000
16.444840,99.480000,22472.110000,452.990000,2024/01/29 13:06:14,23,0.344000,0.666560,16.943330
