LI-8200,LI-8200,,LI-8200,CHAMBER,LI-870,LI-870,CHAMBER,CHAMBER,LI-8200
DOY initial_value,PA initial_value,VOLUME_TOTAL,DATE_TIME initial_value,SWC_2 mean,FCO2_DRY LIN,FCO2_DRY,TA mean,TS_2 mean,LABEL
[#],[kPa],[cm+3],[YYYY-MM-DD HH:MM:SS],[m+3m-3],[umol+1m-2s-1],[umol+1m-2s-1],[C],[C],[#]
37.506720,99.220000,21271.260000,2024/02/06 12:09:41,0.394800,0.961880,0.961880,16.231370,19.580000,21
37.507720,99.240000,21271.260000,2024/02/06 12:11:07,0.394000,0.932930,0.932930,16.019880,18.791670,21
37.508700,99.220000,21271.260000,2024/02/06 12:12:32,0.394000,0.967080,0.967080,16.491330,17.985000,21
37.510230,99.220000,22472.110000,2024/02/06 12:14:44,0.323520,0.761430,0.839900,18.141370,17.208330,OC4
37.511230,99.240000,22472.110000,2024/02/06 12:16:10,0.223330,0.754860,0.860660,18.415090,11.666670,OC4
37.512210,99.240000,22472.110000,2024/02/06 12:17:35,0.335100,0.736430,0.792570,18.566440,17.300000,OC4
37.514100,99.210000,21764.470000,2024/02/06 12:20:18,0.320950,0.711700,0.734010,17.859960,17.055000,22
37.515090,99.210000,21764.470000,2024/02/06 12:21:44,0.393230,0.666610,0.724510,17.489690,16.776670,22
37.516080,99.200000,21764.470000,2024/02/06 12:23:09,0.394000,0.686000,0.761300,17.170800,16.566670,22
37.517450,99.210000,22343.450000,2024/02/06 12:25:08,0.244400,0.592210,0.592210,16.885660,16.625000,23
37.518440,99.190000,22343.450000,2024/02/06 12:26:33,0.375000,0.577380,0.577380,17.018680,17.206670,23
37.519430,99.200000,22343.450000,2024/02/06 12:27:59,0.375000,0.582580,0.653350,16.835080,17.300000,23
37.521060,99.200000,21764.470000,2024/02/06 12:30:20,0.322150,0.675700,0.755630,17.033510,17.670000,20
37.522050,99.180000,21764.470000,2024/02/06 12:31:45,0.380000,0.549080,0.549080,16.660810,17.700000,20
37.523040,99.220000,21764.470000,2024/02/06 12:33:11,0.380000,0.512810,0.512810,16.743660,17.700000,20
37.524700,99.220000,25195.460000,2024/02/06 12:35:34,0.354080,0.687170,0.687170,17.885650,17.500000,19
37.525690,99.210000,25195.460000,2024/02/06 12:37:00,0.356500,0.692990,0.769870,17.665050,17.400000,19
37.526680,99.200000,25195.460000,2024/02/06 12:38:25,0.358000,0.653130,0.669230,17.921010,17.206670,19
37.528280,99.190000,21700.140000,2024/02/06 12:40:43,0.341630,0.996750,0.996750,17.734800,16.893330,18
37.529260,99.170000,21700.140000,2024/02/06 12:42:08,0.347650,0.984550,0.984550,17.615260,17.265000,18
37.530250,99.170000,21700.140000,2024/02/06 12:43:34,0.349080,0.929090,0.929090,17.200960,17.300000,18
37.532370,99.180000,19684.430000,2024/02/06 12:46:37,0.308000,1.068500,1.161650,18.391840,17.240000,OC2
37.533370,99.170000,19684.430000,2024/02/06 12:48:03,0.309130,0.984810,1.026510,19.063620,17.613330,OC2
37.534350,99.170000,19684.430000,2024/02/06 12:49:28,0.310000,0.980020,0.989360,19.009110,17.995000,OC2
