Plot ,Treatment ,R1 (01/29/24),R2 (01/30/24),R3 (01/31/24),R4 (02/05/24),R5 (02/06/24),R6 (02/07/24),swc1,swc2,swc3,swc4,swc5,swc6,st1,st2,st3,st4,st5,st6
1,Disturbance,0.493946667,0.805866667,0.6088,0.397803333,0.51121,0.465556667,0.343356667,0.356063333,0.3065,0.378,0.28595,0.305076667,15.10555667,18.41889,19.16777667,12.14166667,19.23333333,17.27111333
2,NPK Cessation,0.490503333,0.551946667,0.55986,0.320606667,0.58225,0.490076667,0.317476667,0.35565,0.365466667,0.309166667,0.37049,0.294766667,17.02222333,19.02666667,18.66666667,11.9,19.78444667,17.86166667
3,NPK ,1.282056667,1.170006667,1.293616667,0.75879,1.147953333,1.151936667,0.189466667,0.22221,0.349633333,0.342633333,0.219686667,0.21364,16.55777667,18.88666667,18.14277667,12.50389,19.61555333,17.94889
4,Control ,0.558916667,0.543496667,0.582226667,0.46565,0.53282,0.57081,0.274123333,0.343473333,0.37248,0.322283333,0.348556667,0.272096667,17.5,20.02333333,17.43889,13.79444333,18.74333333,18
5,NPK + disturbance,1.31245,0.91357,0.973843333,1.211576667,0.95331,0.891213333,0.35614,0.33,0.3362,0.326053333,0.362143333,0.300583333,18.75,18.38555667,18.91111,14.13388667,19.32889,19.16222333
6,NPK + disturbance,1.812243333,0.681016667,0.85853,0.668126667,0.88118,0.741243333,0.325356667,0.365193333,0.348736667,0.376133333,0.357193333,0.353163333,18.34,16.59666667,18.98222333,14.44666667,19.27555667,18.86222333
7,Control ,0.74611,0.58231,0.816906667,0.610996667,0.710633333,0.794826667,0.26979,0.344523333,0.2635,0.366983333,0.282633333,0.24691,17.785,16,18.62888667,14.6,19.04889,18.53333333
8,Disturbance,0.937003333,0.634093333,0.77644,0.393876667,0.717103333,0.76834,0.361466667,0.374176667,0.28543,0.33235,0.33491,0.35414,18.92222333,17.39777667,19.81888667,15.21611,18.69333333,18.41111
9,NPK Cessation,0.890203333,0.724033333,0.824606667,0.793413333,0.756146667,0.62048,0.217216667,0.21991,0.2162,0.176513333,0.23556,0.19616,17.25611,17.28111,19.78,15.69277667,18.48555667,18.34278
10,NPK,0.556696667,0.59973,0.56194,0.5909,0.537153333,0.41361,0.296586667,0.233013333,0.237943333,0.289973333,0.2852,0.215283333,17.95,18.46833333,16.83,15.5,19.03666667,15.33666667
11,NPK Cessation,0.66856,0.634713333,0.661473333,0.634596667,0.54986,0.43974,0.354656667,0.29498,0.346746667,0.363813333,0.31681,0.33925,17.09889,17.50555333,16.44111,15.85778,18.22555667,16.40222333
12,Disturbance,1.071386667,0.655863333,0.615416667,0.455826667,0.61718,0.44281,0.375186667,0.378096667,0.348606667,0.388,0.367993333,0.361376667,15.58333333,17.65166667,16.99611,15.4,20.07889,16.625
13,NPK + disturbance,0.999366667,1.306506667,1.08092,0.588913333,1.145276667,0.905273333,0.32923,0.298053333,0.322433333,0.368806667,0.343106667,0.24979,15.53611333,18.77389,20.42444333,12.81111,20.34555667,16.98777667
14,NPK,0.404083333,0.332433333,0.436956667,0.366506667,0.325513333,0.29511,0.11225,0.290823333,0.247076667,0.311103333,0.226686667,0.2182,8.869443333,18.52444333,20.22949,12.70389,20.20444333,16.61777667
